geneID	Sex.Bias.Category	log2FoldChange
FBgn0000008	Moderately male-biased	0.681685898756726
FBgn0000017	Moderately male-biased	1.24565693834125
FBgn0000018	Moderately female-biased	-0.616868931954858
FBgn0000024	Moderately male-biased	0.682903643176893
FBgn0000028	Moderately male-biased	1.12084169293843
FBgn0000032	Moderately female-biased	-0.635405979830065
FBgn0000036	Moderately male-biased	0.779662062732015
FBgn0000037	Moderately male-biased	1.21123941347747
FBgn0000038	Moderately male-biased	1.95549928082926
FBgn0000039	Moderately male-biased	1.57587323635865
FBgn0000042	Unbiased	0.251508975278431
FBgn0000043	Unbiased	0.0706573929826734
FBgn0000044	Moderately female-biased	-0.558188246220766
FBgn0000045	Moderately male-biased	1.06853238261176
FBgn0000046	Unbiased	-0.499247846480288
FBgn0000047	Moderately male-biased	1.76947998483232
FBgn0000052	Moderately female-biased	-1.7419035099675
FBgn0000053	Highly female-biased	-2.01012751969439
FBgn0000055	Moderately female-biased	-1.05864852249079
FBgn0000057	Unbiased	-0.145808186808803
FBgn0000063	Moderately male-biased	0.658071136449603
FBgn0000064	Moderately female-biased	-0.625459075860721
FBgn0000071	Unbiased	0.427495846456709
FBgn0000075	Moderately male-biased	0.752908402909826
FBgn0000077	Unbiased	-0.255084427596899
FBgn0000078	Moderately female-biased	-0.629292029745138
FBgn0000079	Moderately female-biased	-0.726354500933104
FBgn0000083	Unbiased	-0.112008720172759
FBgn0000084	Unbiased	0.0553766190553903
FBgn0000092	Moderately male-biased	1.41735118936091
FBgn0000097	Unbiased	-0.0738122815284368
FBgn0000100	Moderately female-biased	-1.26677386669945
FBgn0000108	Moderately male-biased	0.568825061259372
FBgn0000109	Moderately female-biased	-1.06909340663017
FBgn0000114	Unbiased	-0.0398508265683595
FBgn0000115	Moderately female-biased	-0.637305094169505
FBgn0000116	Unbiased	0.261426561522296
FBgn0000117	Unbiased	0.270671384583272
FBgn0000119	Unbiased	0.292135026664047
FBgn0000120	Unbiased	-0.260404876139252
FBgn0000121	Unbiased	-0.325157754058078
FBgn0000139	Unbiased	-0.140600286162923
FBgn0000146	Unbiased	0.434556851901114
FBgn0000147	Unbiased	-0.388153493547396
FBgn0000150	Moderately female-biased	-0.716101868447468
FBgn0000152	Unbiased	-0.143336058046404
FBgn0000153	Unbiased	0.0263608710207042
FBgn0000157	Moderately male-biased	0.802753773706422
FBgn0000163	Moderately male-biased	0.695438391978232
FBgn0000173	Unbiased	-0.488942786048759
FBgn0000179	Moderately male-biased	0.675368995176441
FBgn0000180	Moderately male-biased	0.64903052335716
FBgn0000181	Moderately female-biased	-0.722522099800317
FBgn0000183	Unbiased	0.222321785356731
FBgn0000206	Unbiased	0.0227622492510892
FBgn0000212	Unbiased	0.383266279908872
FBgn0000221	Unbiased	-0.0669047085066906
FBgn0000228	Moderately male-biased	0.507724545148167
FBgn0000229	Unbiased	-0.218498515369613
FBgn0000233	Unbiased	0.482863877412124
FBgn0000239	Moderately female-biased	-0.719401468210906
FBgn0000241	Unbiased	0.451953870389712
FBgn0000244	Unbiased	-0.137950661017413
FBgn0000246	Unbiased	0.30520323672174
FBgn0000247	Moderately male-biased	0.556180577933058
FBgn0000250	Unbiased	-0.185179386271604
FBgn0000253	Unbiased	-0.173002419435793
FBgn0000256	Moderately male-biased	0.628648295793539
FBgn0000257	Unbiased	0.407547487860226
FBgn0000259	Unbiased	-0.241203642406218
FBgn0000261	Unbiased	-0.369703913816775
FBgn0000273	Unbiased	0.188926527721369
FBgn0000277	Highly female-biased	-7.24231292173853
FBgn0000279	Highly female-biased	-3.96902369213998
FBgn0000283	Unbiased	0.299477910417671
FBgn0000286	Unbiased	0.210627461921614
FBgn0000287	Unbiased	0.41082812832894
FBgn0000289	Moderately male-biased	0.672767247350958
FBgn0000299	Unbiased	-0.430112692956084
FBgn0000303	Moderately male-biased	1.13894523302613
FBgn0000307	Moderately male-biased	0.505119422154999
FBgn0000308	Unbiased	-0.245091255100248
FBgn0000316	Unbiased	-0.354570075705149
FBgn0000317	Unbiased	-0.0317416751664077
FBgn0000318	Unbiased	-0.422823262934213
FBgn0000319	Unbiased	-0.0198438410148934
FBgn0000320	Unbiased	0.47226978363637
FBgn0000326	Moderately female-biased	-0.587676797914029
FBgn0000330	Unbiased	0.103507011276621
FBgn0000339	Unbiased	-0.469194529473491
FBgn0000346	Moderately male-biased	0.735246225296306
FBgn0000352	Moderately male-biased	0.943856696449133
FBgn0000370	Unbiased	-0.351312012597513
FBgn0000376	Unbiased	0.430675728449351
FBgn0000377	Unbiased	-0.1398414973006
FBgn0000382	Unbiased	0.376650612640041
