geneID	Sex.Bias.Category	log2FoldChange
FBgn0000003	Moderately female-biased	-1.52483298506253
FBgn0000008	Unbiased	-0.111476049541735
FBgn0000014	Moderately male-biased	1.95932393162875
FBgn0000015	Highly male-biased	3.75752191536182
FBgn0000017	Moderately female-biased	-0.793390455557096
FBgn0000018	Moderately female-biased	-0.668496252910936
FBgn0000024	Moderately male-biased	1.99334385125382
FBgn0000028	Highly male-biased	4.0222333065586
FBgn0000032	Highly female-biased	-2.64073302014142
FBgn0000036	Highly male-biased	2.35393298986565
FBgn0000037	Highly male-biased	2.64636990339563
FBgn0000038	Highly male-biased	2.94156413898281
FBgn0000039	Highly male-biased	2.80892134945452
FBgn0000042	Moderately female-biased	-1.24538617536525
FBgn0000043	Unbiased	-0.118122522630644
FBgn0000044	Highly male-biased	2.39983963478343
FBgn0000045	Highly male-biased	4.16851329984867
FBgn0000046	Highly male-biased	3.33963172583016
FBgn0000047	Highly male-biased	5.32779255357289
FBgn0000052	Moderately female-biased	-0.967583374330689
FBgn0000053	Moderately female-biased	-0.749163211915014
FBgn0000055	Moderately male-biased	1.1690160556657
FBgn0000057	Unbiased	0.35113411342366
FBgn0000063	Highly female-biased	-2.15979301686354
FBgn0000064	Moderately male-biased	1.747090782556
FBgn0000075	Highly female-biased	-2.36285630309711
FBgn0000077	Moderately female-biased	-1.80187525813502
FBgn0000078	Moderately male-biased	1.20251753963383
FBgn0000079	Moderately male-biased	1.15593077821957
FBgn0000083	Unbiased	-0.426492588979874
FBgn0000084	Moderately female-biased	-0.850624201195092
FBgn0000092	Highly male-biased	2.73195482784397
FBgn0000094	Highly male-biased	17.116443133934
FBgn0000097	Moderately female-biased	-0.947456831964159
FBgn0000100	Moderately female-biased	-1.39365892686324
FBgn0000108	Highly male-biased	2.50707389164181
FBgn0000109	Moderately female-biased	-1.50950259386026
FBgn0000114	Moderately female-biased	-1.27550675617967
FBgn0000115	Moderately female-biased	-1.72451644620713
FBgn0000116	Highly male-biased	2.0825537740828
FBgn0000117	Moderately female-biased	-1.20092973886035
FBgn0000119	Moderately male-biased	0.745507555282413
FBgn0000120	Moderately male-biased	1.30931008858883
FBgn0000121	Moderately male-biased	1.49831643445583
FBgn0000139	Moderately female-biased	-1.04614560113399
FBgn0000140	Highly female-biased	-2.80675388682987
FBgn0000146	Highly female-biased	-4.09199147886985
FBgn0000147	Highly female-biased	-2.28888359344892
FBgn0000150	Moderately female-biased	-1.6630926538226
FBgn0000152	Moderately female-biased	-0.662520421214183
FBgn0000153	Highly male-biased	2.44260217390198
FBgn0000157	Highly male-biased	2.40036788058503
FBgn0000158	Highly female-biased	-5.01804884383212
FBgn0000163	Unbiased	-0.398776572907126
FBgn0000166	Highly female-biased	-7.3040895851177
FBgn0000173	Moderately female-biased	-1.65614245493169
FBgn0000179	Highly male-biased	2.41305607900193
FBgn0000180	Unbiased	-0.254520205360672
FBgn0000181	Highly female-biased	-2.30733202608041
FBgn0000182	Highly male-biased	5.27658321387757
FBgn0000183	Highly female-biased	-2.32315385081646
FBgn0000206	Highly male-biased	2.37244465268426
FBgn0000212	Moderately female-biased	-1.41243411096885
FBgn0000221	Moderately female-biased	-1.05391049587781
FBgn0000228	Moderately female-biased	-1.24289672317349
FBgn0000229	Unbiased	0.222582286006193
FBgn0000233	Highly male-biased	2.24723334445473
FBgn0000239	Moderately female-biased	-1.27350324406031
FBgn0000241	Highly male-biased	2.46362597358211
FBgn0000244	Moderately male-biased	1.13691579061834
FBgn0000246	Highly female-biased	-3.27797622287856
FBgn0000247	Unbiased	0.371307262948085
FBgn0000250	Moderately female-biased	-1.1741563609481
FBgn0000251	Moderately female-biased	-1.68949084162452
FBgn0000253	Unbiased	-0.0743392240209774
FBgn0000256	Highly male-biased	2.79352968791359
FBgn0000257	Moderately female-biased	-1.90363681825913
FBgn0000259	Highly female-biased	-2.2310698127858
FBgn0000261	Moderately male-biased	1.60135939099152
FBgn0000273	Moderately male-biased	0.516856671513426
FBgn0000274	Highly male-biased	4.72017674611076
FBgn0000276	Highly male-biased	5.12765999708934
FBgn0000283	Moderately female-biased	-1.72434310846208
FBgn0000286	Moderately male-biased	1.62198007527472
FBgn0000287	Highly male-biased	4.66736681471912
FBgn0000289	Moderately female-biased	-1.07083508623082
FBgn0000299	Unbiased	0.349968846413425
FBgn0000303	Highly male-biased	2.82652401290452
FBgn0000307	Highly female-biased	-2.22574942588326
FBgn0000308	Moderately female-biased	-1.26552338915592
FBgn0000316	Highly female-biased	-3.30148336365129
FBgn0000317	Moderately female-biased	-0.676455596881891
FBgn0000318	Moderately female-biased	-1.58720340430459
FBgn0000319	Moderately female-biased	-0.675870517454011
FBgn0000320	Moderately male-biased	0.548983321448147
FBgn0000326	Moderately female-biased	-0.595528046070274
