geneID	Sex.Bias.Category	log2FoldChange
FBgn0000008	Unbiased	-0.0413224180799776
FBgn0000014	Highly male-biased	2.25784296889013
FBgn0000015	Highly male-biased	4.13889645630247
FBgn0000017	Unbiased	-0.447381892389943
FBgn0000018	Unbiased	-0.361534300750877
FBgn0000024	Highly male-biased	2.44915666257726
FBgn0000028	Highly male-biased	4.62106537231331
FBgn0000032	Highly female-biased	-2.70637544269226
FBgn0000036	Highly male-biased	2.87773505992162
FBgn0000037	Highly male-biased	3.28854979629616
FBgn0000038	Highly male-biased	3.35669693103958
FBgn0000039	Highly male-biased	3.45162451970377
FBgn0000042	Moderately female-biased	-0.970620253828777
FBgn0000043	Unbiased	-0.0188525990194486
FBgn0000044	Highly male-biased	2.23542453303483
FBgn0000045	Highly male-biased	3.36790442580138
FBgn0000046	Highly male-biased	3.31153474841561
FBgn0000047	Highly male-biased	3.57732432260833
FBgn0000052	Unbiased	-0.3949909304341
FBgn0000053	Moderately female-biased	-0.880756028203036
FBgn0000055	Moderately male-biased	1.39191356135201
FBgn0000057	Moderately male-biased	0.760946779543392
FBgn0000063	Highly female-biased	-2.32495417607935
FBgn0000064	Moderately male-biased	1.25534700643601
FBgn0000075	Highly female-biased	-2.27254899593678
FBgn0000077	Moderately female-biased	-1.72923790684117
FBgn0000078	Moderately male-biased	1.99464918791354
FBgn0000079	Moderately male-biased	1.83742265726502
FBgn0000083	Unbiased	-0.267772619087918
FBgn0000084	Moderately female-biased	-0.558491114229567
FBgn0000092	Moderately male-biased	1.04381429156487
FBgn0000094	Highly male-biased	16.784977398356
FBgn0000097	Moderately female-biased	-0.626906230702623
FBgn0000100	Moderately female-biased	-0.907062354105988
FBgn0000108	Highly male-biased	2.96881582416246
FBgn0000109	Moderately female-biased	-1.57760364991787
FBgn0000114	Moderately female-biased	-1.30741834804918
FBgn0000115	Moderately female-biased	-1.50837745398893
FBgn0000116	Highly male-biased	2.02847117981812
FBgn0000117	Moderately female-biased	-1.06638888014945
FBgn0000119	Moderately male-biased	1.20669928728364
FBgn0000120	Moderately male-biased	1.65048638005415
FBgn0000121	Highly male-biased	2.29053304508436
FBgn0000139	Moderately female-biased	-0.849192465117019
FBgn0000140	Highly female-biased	-2.59328016865304
FBgn0000146	Highly female-biased	-3.86675087481255
FBgn0000147	Moderately female-biased	-1.99485522033683
FBgn0000150	Moderately female-biased	-1.67533725377371
FBgn0000152	Unbiased	-0.495050941791851
FBgn0000153	Moderately male-biased	1.74036742398193
FBgn0000157	Highly male-biased	3.01517057670743
FBgn0000158	Highly female-biased	-4.88840223259018
FBgn0000163	Unbiased	-0.161557909765903
FBgn0000166	Highly female-biased	-7.69679804026615
FBgn0000173	Moderately female-biased	-1.57763200276375
FBgn0000179	Highly male-biased	2.88702216450656
FBgn0000180	Unbiased	0.0449476975517791
FBgn0000181	Moderately female-biased	-1.849803439812
FBgn0000182	Highly male-biased	6.14815785143587
FBgn0000183	Moderately female-biased	-1.94821038574557
FBgn0000206	Highly male-biased	2.76644540231102
FBgn0000212	Moderately female-biased	-0.697863765221602
FBgn0000221	Moderately female-biased	-0.806572938092536
FBgn0000228	Moderately female-biased	-0.883363986267634
FBgn0000229	Unbiased	0.287473983283549
FBgn0000233	Highly male-biased	2.97726042916461
FBgn0000239	Moderately female-biased	-1.2401945879776
FBgn0000241	Highly male-biased	3.13833615356209
FBgn0000244	Moderately male-biased	1.28299274563354
FBgn0000246	Highly female-biased	-3.57693174410536
FBgn0000247	Moderately male-biased	0.726524619560819
FBgn0000250	Moderately female-biased	-1.19950586526669
FBgn0000251	Moderately female-biased	-1.61015014557724
FBgn0000253	Unbiased	-0.317064311848877
FBgn0000256	Highly male-biased	2.66083311692767
FBgn0000257	Moderately female-biased	-1.61584582090073
FBgn0000259	Highly female-biased	-2.52179954219549
FBgn0000261	Moderately male-biased	1.83601273367779
FBgn0000273	Unbiased	0.397479981386203
FBgn0000274	Highly male-biased	5.13293650404335
FBgn0000276	Highly male-biased	3.99632327801395
FBgn0000283	Moderately female-biased	-1.36240471349186
FBgn0000286	Moderately male-biased	1.68645381985879
FBgn0000287	Highly male-biased	5.30091756208878
FBgn0000289	Moderately female-biased	-0.79144957573278
FBgn0000299	Unbiased	0.154134388987658
FBgn0000303	Highly male-biased	3.11995353301646
FBgn0000307	Moderately female-biased	-1.75954532519601
FBgn0000308	Moderately female-biased	-1.26213718108559
FBgn0000316	Highly female-biased	-2.93662364665912
FBgn0000317	Unbiased	-0.0901211423367914
FBgn0000318	Moderately female-biased	-1.08928310333188
FBgn0000319	Unbiased	-0.396140971747069
FBgn0000320	Moderately male-biased	0.97001926456529
FBgn0000326	Moderately female-biased	-0.550391781994259
FBgn0000330	Moderately female-biased	-1.09905285151986
FBgn0000339	Highly female-biased	-2.56111488686189
FBgn0000346	Highly male-biased	3.13894957993964
