geneID	Sex.Bias.Category	log2FoldChange
FBgn0000008	Moderately male-biased	1.70675753827097
FBgn0000014	Highly male-biased	5.19722962272228
FBgn0000015	Highly male-biased	6.38415585754732
FBgn0000017	Moderately male-biased	1.66890977949536
FBgn0000018	Highly male-biased	2.09312849681797
FBgn0000024	Highly male-biased	3.85044936269153
FBgn0000028	Highly male-biased	7.82653187334938
FBgn0000032	Moderately female-biased	-0.698678789973122
FBgn0000036	Highly male-biased	10.3535205894732
FBgn0000037	Highly male-biased	5.78466768237079
FBgn0000038	Highly male-biased	6.31753622270485
FBgn0000042	Moderately female-biased	-1.58543455001041
FBgn0000043	Highly male-biased	2.00873253408536
FBgn0000044	Moderately male-biased	1.50210762703565
FBgn0000045	Highly male-biased	6.92338752734785
FBgn0000046	Highly male-biased	8.19892051770601
FBgn0000052	Moderately female-biased	-1.8158139589401
FBgn0000053	Moderately female-biased	-1.5084193910358
FBgn0000057	Moderately male-biased	1.95355917773146
FBgn0000063	Moderately male-biased	1.47214500228122
FBgn0000064	Moderately male-biased	1.96813678701374
FBgn0000075	Highly female-biased	-2.84076056475063
FBgn0000077	Highly female-biased	-3.53789762362228
FBgn0000078	Highly male-biased	2.7296377117623
FBgn0000079	Highly male-biased	2.28351096921248
FBgn0000083	Unbiased	-0.492931862146655
FBgn0000084	Moderately female-biased	-0.93712340750896
FBgn0000097	Moderately female-biased	-0.944051831075516
FBgn0000100	Highly female-biased	-4.51097392736659
FBgn0000108	Highly male-biased	3.29728509223349
FBgn0000109	Moderately female-biased	-0.791550602323468
FBgn0000114	Moderately male-biased	1.06670434658593
FBgn0000115	Moderately female-biased	-1.99525217735514
FBgn0000116	Unbiased	-0.023940346064927
FBgn0000117	Highly female-biased	-2.62694786935024
FBgn0000119	Highly male-biased	3.28860858213623
FBgn0000139	Unbiased	0.0567237805550371
FBgn0000140	Moderately male-biased	0.991598554767857
FBgn0000146	Moderately female-biased	-0.995375851578565
FBgn0000147	Unbiased	-0.130529511204646
FBgn0000150	Highly female-biased	-4.43820104677906
FBgn0000152	Moderately female-biased	-1.77161891667021
FBgn0000157	Highly male-biased	6.37895132529737
FBgn0000158	Moderately female-biased	-1.2711141825046
FBgn0000163	Unbiased	-0.0110457149609369
FBgn0000166	Highly female-biased	-3.50623215786755
FBgn0000173	Highly female-biased	-2.07640528127307
FBgn0000179	Highly male-biased	5.33618765091786
FBgn0000180	Unbiased	0.303871548355487
FBgn0000181	Highly female-biased	-2.66944857123159
FBgn0000182	Highly male-biased	9.09515042975752
FBgn0000183	Moderately female-biased	-0.528669882599175
FBgn0000206	Highly male-biased	11.0144754752268
FBgn0000212	Unbiased	-0.465603388099383
FBgn0000221	Highly female-biased	-2.1253434925463
FBgn0000228	Moderately female-biased	-1.34644804589341
FBgn0000229	Moderately male-biased	1.73385602222236
FBgn0000233	Highly male-biased	8.74916117379184
FBgn0000239	Moderately male-biased	0.719792282989311
FBgn0000244	Moderately female-biased	-1.2488557588465
FBgn0000246	Moderately female-biased	-1.22897640547045
FBgn0000247	Highly male-biased	2.78980553286093
FBgn0000250	Moderately female-biased	-0.819326176241851
FBgn0000251	Moderately male-biased	0.624148799514926
FBgn0000253	Moderately male-biased	0.531287150922596
FBgn0000256	Highly male-biased	5.74187690416764
FBgn0000257	Highly female-biased	-2.69421828584226
FBgn0000259	Unbiased	-0.0583494838983806
FBgn0000261	Highly male-biased	2.08823116976961
FBgn0000273	Moderately female-biased	-0.502821740418555
FBgn0000274	Highly male-biased	8.67820460008
FBgn0000276	Highly male-biased	2.14384074602043
FBgn0000283	Unbiased	0.355801457995603
FBgn0000286	Highly male-biased	4.74758642641345
FBgn0000287	Highly male-biased	14.2556377543192
FBgn0000289	Unbiased	0.396311824748594
FBgn0000299	Unbiased	0.349750421894421
FBgn0000307	Moderately female-biased	-0.622383578731597
FBgn0000308	Unbiased	0.0671149710799259
FBgn0000316	Highly female-biased	-2.23666550536039
FBgn0000317	Unbiased	0.464344407529228
FBgn0000318	Moderately female-biased	-1.20223677470625
FBgn0000319	Unbiased	-0.264696474178745
FBgn0000320	Moderately male-biased	1.94823260270877
FBgn0000326	Unbiased	0.330894723625279
FBgn0000330	Highly female-biased	-2.55135423280475
FBgn0000339	Highly female-biased	-3.15191425293701
FBgn0000346	Highly male-biased	6.25373371888774
FBgn0000351	Highly female-biased	-5.81244823387916
FBgn0000352	Moderately female-biased	-0.660614523962967
FBgn0000355	Highly female-biased	-6.66292973194267
FBgn0000356	Highly female-biased	-13.7231575575452
FBgn0000357	Highly female-biased	-8.93899975445308
FBgn0000358	Highly female-biased	-13.2803666877243
FBgn0000359	Highly female-biased	-15.5923829515031
FBgn0000360	Highly female-biased	-14.6667264836978
FBgn0000370	Unbiased	-0.381569328231115
FBgn0000376	Highly female-biased	-2.55606319645987
FBgn0000377	Highly female-biased	-2.78823161384489
FBgn0000382	Unbiased	-0.38821433113579
FBgn0000384	Highly female-biased	-2.9022253430286
FBgn0000394	Moderately female-biased	-1.40277174780825
FBgn0000395	Highly male-biased	2.84081018215145
FBgn0000404	Moderately female-biased	-1.6109335470354
FBgn0000405	Highly female-biased	-2.1205019138454
FBgn0000406	Unbiased	0.0276750078262391
FBgn0000411	Highly male-biased	9.07375820756128
FBgn0000412	Unbiased	0.13608042561048
FBgn0000414	Unbiased	-0.299636099916764
FBgn0000416	Moderately male-biased	0.840652613807721
FBgn0000422	Highly male-biased	5.21235665262171
FBgn0000426	Moderately female-biased	-1.58569960161491
FBgn0000427	Highly female-biased	-7.16222108292683
FBgn0000447	Highly male-biased	2.06621440483796
FBgn0000454	Moderately female-biased	-1.9170696699541
FBgn0000455	Highly female-biased	-2.19322822932494
FBgn0000459	Highly male-biased	7.90944119451488
FBgn0000463	Moderately female-biased	-1.91239641686735
FBgn0000464	Unbiased	0.020740816618603
FBgn0000473	Unbiased	-0.0475855677602107
FBgn0000477	Moderately male-biased	0.505437502088926
FBgn0000479	Moderately female-biased	-1.40419525281502
FBgn0000482	Moderately female-biased	-0.509193961723475
FBgn0000489	Highly male-biased	3.71657371951956
FBgn0000490	Highly male-biased	3.9874033057426
FBgn0000492	Highly male-biased	3.77747874224273
FBgn0000499	Moderately male-biased	0.795611925140271
FBgn0000504	Highly male-biased	2.22019605035994
FBgn0000520	Highly female-biased	-6.07146862274433
FBgn0000524	Moderately female-biased	-1.79348413705773
FBgn0000527	Highly male-biased	10.9925857958036
FBgn0000533	Highly female-biased	-4.76919393701727
FBgn0000536	Moderately male-biased	1.39151218322421
FBgn0000541	Moderately male-biased	1.47323884460539
FBgn0000542	Highly male-biased	2.19978885025487
FBgn0000543	Moderately female-biased	-0.96726102933789
FBgn0000546	Highly female-biased	-3.02219745745849
FBgn0000547	Moderately female-biased	-1.41396879195748
FBgn0000557	Highly male-biased	3.55860583799138
FBgn0000559	Highly female-biased	-2.77558803458227
FBgn0000560	Highly male-biased	11.378740311984
FBgn0000562	Highly female-biased	-2.27772914776312
FBgn0000565	Moderately female-biased	-0.90574011399665
FBgn0000566	Highly female-biased	-2.18953893342924
FBgn0000567	Unbiased	-0.246668655708289
FBgn0000568	Moderately female-biased	-0.811706517483291
